s.no,time,interval,,,,,,,,,,,,,interval
1,9:05:23,5.38,,,,,,,,,,,,,4.18
2,9:12:37,7.23,,,,,,,,,,,,,4.23
3,9:18:44,6.12,,,,,,,,,,,,,4.28
4,9:23:15,4.52,,,,,,,,,,,,,4.28
5,9:28:09,4.9,,,,,,,,,,,,,4.3
6,9:32:51,4.7,,,,,,,,,,,,,4.43
7,9:37:02,4.18,,,,,,,,,,,,,4.43
8,9:42:11,5.15,,,,,,,,,,,,,4.43
9,9:46:28,4.28,,,,,,,,,,,,,4.45
10,9:51:09,4.68,,,,,,,,,,,,,4.45
11,9:55:35,4.43,,,,,,,,,,,,,4.45
12,10:00:17,4.7,,,,,,,,,,,,,4.47
13,10:04:49,4.53,,,,,,,,,,,,,4.47
14,10:09:21,4.53,,,,,,,,,,,,,4.48
15,10:14:05,4.73,,,,,,,,,,,,,4.48
16,10:18:33,4.47,,,,,,,,,,,,,4.48
17,10:23:02,4.48,,,,,,,,,,,,,4.48
18,10:28:15,5.22,,,,,,,,,,,,,4.52
19,10:32:59,4.73,,,,,,,,,,,,,4.52
20,10:37:27,4.47,,,,,,,,,,,,,4.53
21,10:42:48,5.35,,,,,,,,,,,,,4.53
22,10:47:02,4.23,,,,,,,,,,,,,4.53
23,10:51:55,4.88,,,,,,,,,,,,,4.55
24,10:56:12,4.28,,,,,,,,,,,,,4.55
25,11:00:39,4.45,,,,,,,,,,,,,4.55
26,11:05:18,4.65,,,,,,,,,,,,,4.55
27,11:10:25,5.12,,,,,,,,,,,,,4.55
28,11:14:59,4.57,,,,,,,,,,,,,4.57
29,11:19:48,4.82,,,,,,,,,,,,,4.57
30,11:24:37,4.82,,,,,,,,,,,,,4.58
31,11:29:14,4.62,,,,,,,,,,,,,4.58
32,11:34:05,4.85,,,,,,,,,,,,,4.58
33,11:39:22,5.28,,,,,,,,,,,,,4.6
34,11:43:51,4.48,,,,,,,,,,,,,4.6
35,11:48:29,4.63,,,,,,,,,,,,,4.6
36,11:53:11,4.7,,,,,,,,,,,,,4.6
37,11:58:02,4.85,,,,,,,,,,,,,4.6
38,12:02:47,4.75,,,,,,,,,,,,,4.62
39,12:07:35,4.8,,,,,,,,,,,,,4.62
40,12:12:04,4.48,,,,,,,,,,,,,4.62
41,12:16:51,4.78,,,,,,,,,,,,,4.63
42,12:21:27,4.6,,,,,,,,,,,,,4.63
43,12:26:10,4.72,,,,,,,,,,,,,4.65
44,12:31:02,4.87,,,,,,,,,,,,,4.65
45,12:35:49,4.78,,,,,,,,,,,,,4.68
46,12:40:18,4.48,,,,,,,,,,,,,4.7
47,12:45:03,4.75,,,,,,,,,,,,,4.7
48,12:49:41,4.63,,,,,,,,,,,,,4.7
49,12:54:55,5.23,,,,,,,,,,,,,4.7
50,12:59:13,4.3,,,,,,,,,,,,,4.7
51,13:04:07,4.9,,,,,,,,,,,,,4.7
52,13:08:49,4.7,,,,,,,,,,,,,4.7
53,13:13:36,4.78,,,,,,,,,,,,,4.72
54,13:18:22,4.77,,,,,,,,,,,,,4.72
55,13:23:15,4.88,,,,,,,,,,,,,4.73
56,13:28:09,4.9,,,,,,,,,,,,,4.73
57,13:32:44,4.58,,,,,,,,,,,,,4.73
58,13:37:21,4.62,,,,,,,,,,,,,4.73
59,13:42:33,5.2,,,,,,,,,,,,,4.73
60,13:47:09,4.6,,,,,,,,,,,,,4.73
61,13:51:52,4.72,,,,,,,,,,,,,4.75
62,13:56:25,4.55,,,,,,,,,,,,,4.75
63,14:00:51,4.43,,,,,,,,,,,,,4.75
64,14:05:38,4.78,,,,,,,,,,,,,4.75
65,14:10:12,4.57,,,,,,,,,,,,,4.77
66,14:15:28,5.27,,,,,,,,,,,,,4.78
67,14:19:54,4.43,,,,,,,,,,,,,4.78
68,14:24:47,4.88,,,,,,,,,,,,,4.78
69,14:29:34,4.78,,,,,,,,,,,,,4.78
70,14:34:18,4.73,,,,,,,,,,,,,4.78
71,14:38:49,4.52,,,,,,,,,,,,,4.78
72,14:43:33,4.73,,,,,,,,,,,,,4.78
73,14:48:22,4.82,,,,,,,,,,,,,4.78
74,14:53:09,4.78,,,,,,,,,,,,,4.8
75,14:58:04,4.92,,,,,,,,,,,,,4.8
76,15:02:39,4.58,,,,,,,,,,,,,4.8
77,15:07:12,4.55,,,,,,,,,,,,,4.8
78,15:11:48,4.6,,,,,,,,,,,,,4.82
79,15:16:35,4.78,,,,,,,,,,,,,4.82
80,15:21:23,4.8,,,,,,,,,,,,,4.82
81,15:26:07,4.73,,,,,,,,,,,,,4.82
82,15:31:25,5.3,,,,,,,,,,,,,4.82
83,15:35:52,4.45,,,,,,,,,,,,,4.82
84,15:40:19,4.45,,,,,,,,,,,,,4.82
85,15:45:03,4.73,,,,,,,,,,,,,4.83
86,15:50:22,5.32,,,,,,,,,,,,,4.85
87,15:55:11,4.82,,,,,,,,,,,,,4.85
88,16:00:07,4.93,,,,,,,,,,,,,4.87
89,16:04:55,4.8,,,,,,,,,,,,,4.88
90,16:09:31,4.6,,,,,,,,,,,,,4.88
91,16:14:19,4.8,,,,,,,,,,,,,4.88
92,16:19:04,4.75,,,,,,,,,,,,,4.88
93,16:23:59,4.92,,,,,,,,,,,,,4.9
94,16:28:31,4.53,,,,,,,,,,,,,4.9
95,16:33:04,4.55,,,,,,,,,,,,,4.9
96,16:37:53,4.82,,,,,,,,,,,,,4.9
97,16:42:47,4.9,,,,,,,,,,,,,4.92
98,16:47:32,4.75,,,,,,,,,,,,,4.92
99,16:52:09,4.62,,,,,,,,,,,,,4.93
100,16:56:42,4.55,,,,,,,,,,,,,5.08
101,17:01:18,4.6,,,,,,,,,,,,,5.12
102,17:06:05,4.78,,,,,,,,,,,,,5.15
103,17:10:47,4.7,,,,,,,,,,,,,5.2
104,17:15:22,4.58,,,,,,,,,,,,,5.22
105,17:20:15,4.88,,,,,,,,,,,,,5.23
106,17:25:04,4.82,,,,,,,,,,,,,5.27
107,17:30:09,5.08,,,,,,,,,,,,,5.28
108,17:34:59,4.83,,,,,,,,,,,,,5.3
109,17:39:38,4.65,,,,,,,,,,,,,5.32
110,17:44:11,4.55,,,,,,,,,,,,,5.35
111,17:48:53,4.7,,,,,,,,,,,,,5.38
112,17:53:35,4.7,,,,,,,,,,,,,6.12
113,17:58:24,4.82,,,,,,,,,,,,,7.23
